"HotlineID","GroupID","DateOfCall","DateFirstObserved","Notes","Mortality","Fish","Species","Magnitude","SalinityType","WaterBodyName","Near","LatDD","LonDD","SuspectedCause"
4511,,1995-10-14,1995-10-14,,TRUE,TRUE,"Catfish","20to100","Saltwater","St. Pete Pier",,27.77388,-82.62083,"RedTide"
7085,,1995-10-14,1995-10-14,,TRUE,TRUE,"Mullet , Catfish","20to100","Saltwater","St Pete Pier - Tampa Bay",,27.75277,-82.63084,"RedTide"
4,,1995-10-15,1995-10-15,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Venetian Isles",,27.81791,-82.5976,"LowDissolvedOxygen"
4512,,1995-10-15,1995-10-15,,TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Simmons Beach",,27.66805,-82.50055,"RedTide"
4513,,1995-10-15,1995-10-15,,TRUE,TRUE,"Catfish","100s","Saltwater","EG Simmons Park on beach",,27.76722,-82.43193,"RedTide"
21071,21060,1995-10-15,1995-10-15,"Hotline calls report massive Catfish kills in Apollo Beach, TB.",TRUE,TRUE,"Catfish","20to100","Saltwater","Tampa Bay - Apollo Beach","Apollo Beach",27.78355,-82.41786,"Unknown"
7,,1995-10-16,1995-10-16,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Unknown","Exact Location Unknown",,27.94642,-82.46061,"Disease"
8,,1995-10-16,1995-10-16,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Hillsborough Bay - Tampa Bay",,27.8866,-82.48048,"Disease"
9,,1995-10-16,1995-10-16,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Symphony Isle Subdivision - Tampa",,27.77022,-82.42928,"Disease"
10,,1995-10-16,1995-10-16,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Tampa Bay - Coquina Key",,27.73214,-82.62472,"Disease"
11,,1995-10-16,1995-10-16,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Alafia River - Gibsonton",,27.85363,-82.39831,"Disease"
21072,21060,1995-10-16,1995-10-16,"Catfish kills start coming in from all over Tampa Bay.",TRUE,TRUE,"Catfish","20to100","Saltwater","Tampa Bay",,27.75455,-82.55359,"Unknown"
12,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Treasure Island/Sunset Beach",,28.14459,-82.79097,"RedTide"
13,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Palm River",,27.9459,-82.37895,"Unknown"
14,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Pinellas Point To Tampa",,27.7036,-82.64,"RedTide"
16,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Exact Location Unknown",,27.94721,-82.4586,"Unknown"
19,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","Weedon Island - Tampa Bay",,27.845,-82.60166,"RedTide"
22,,1995-10-17,1995-10-17,"Disoriented.",TRUE,TRUE,"Catfish","1000s","Saltwater","MacDill AFB - Tampa Bay",,27.86166,-82.51721,"Unknown"
24,,1995-10-17,1995-10-17,"Also saw dead cats 9 days ago in Little Cockroach Bay",TRUE,TRUE,"Catfish","20to100","Saltwater","Little Manatee River",,27.71416,-82.46555,"RedTide"
25,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","GOM - Treasure Island Beach",,27.94721,-82.4586,"RedTide"
26,,1995-10-17,1995-10-17,"Wanted to know about disposal.",TRUE,TRUE,"Catfish","20to100","Saltwater","Riviera Bay",,27.76776,-82.61305,"RedTide"
27,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Mullet, Catfish, Species Unidentified","20to100","Saltwater","Hillsborough Bay",,27.7786,-82.43083,"Unknown"
29,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Commongood Park Canal",,27.7786,-82.43083,"RedTide"
31,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Old Tampa Bay",,27.93471,-82.4586,"Unknown"
33,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach",,27.72276,-82.73166,"RedTide"
34,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Coffee Pot Bayou",,27.845,-82.60166,"RedTide"
35,,1995-10-17,1995-10-17,"Also seen at MacDill AFB.",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach /MacDill AFB - Tampa Bay",,27.7786,-82.43083,"RedTide"
36,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Culbreath Bayou","Old Tampa Bay",27.93551,-82.53038,"Unknown"
37,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Big Bend - Teco Power Plant Channel",,27.7911,-82.40721,"RedTide"
40,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Pass-a-Grille Channel",,27.93471,-82.4586,"RedTide"
41,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Coffee Pot Bayou",,27.75026,-82.63083,"RedTide"
42,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach",,27.7786,-82.43083,"RedTide"
43,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","MacDill AFB - Tampa Bay",,27.86166,-82.51721,"RedTide"
44,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Port Manatee",,27.6175,-82.56693,"RedTide"
45,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Davis Island",,27.93584,-82.46241,"Unknown"
46,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Tampa Bay",,27.93471,-82.4586,"Unknown"
47,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach - Tampa Bay",,27.86055,-82.37833,"RedTide"
49,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach",,27.7786,-82.43083,"RedTide"
50,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Weedon Island",,27.8325,-82.60471,"RedTide"
51,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Davis Island",,27.90771,-82.4562,"RedTide"
53,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","GOM - Sunset Beach",,28.14611,-82.78833,"RedTide"
54,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","MacDill AFB Pier - Hillsborough Bay",,27.85598,-82.48151,"Unknown"
55,,1995-10-17,1995-10-17,"Caught fish other than Catfish with slime in their mouths.",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Port Manatee Cockroach Bay - Tampa Bay",,27.80634,-82.41388,"RedTide"
56,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach - Cockroach Bay",,27.76468,-82.41831,"RedTide"
57,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Brackish","Alafia River",,27.85901,-82.38448,"Unknown"
58,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","100s","Saltwater","Boca Ciega Bay",,27.7527,-82.73019,"RedTide"
59,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Coquina Key - Tampa Bay",,27.7409,-82.62689,"RedTide"
60,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Tampa Bay","Skyway",27.7074,-82.67109,"RedTide"
61,,1995-10-17,1995-10-17,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Picnic Island - Old Tampa Bay",,27.85136,-82.55505,"RedTide"
4573,,1995-10-17,1995-10-17,,TRUE,TRUE,"Catfish","20to100","Saltwater","Weedon Island",,27.75777,-82.57693,"RedTide"
4556,,1995-10-17,1995-10-17,,TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Blind Pass",,27.75083,-82.75888,"RedTide"
4564,,1995-10-17,1995-10-17,,TRUE,TRUE,"Catfish","20to100","Saltwater","Pinellas Point to Tampa",,27.70027,-82.63388,"RedTide"
62,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","Apollo Beach - Tampa Bay",,27.78393,-82.41931,"RedTide"
63,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach",,27.76469,-82.41825,"RedTide"
64,,1995-10-18,1995-10-18,"Has a Catfish now if we want a sample.",TRUE,TRUE,"Catfish","1to19","Saltwater","Hillsborough Bay",,27.76469,-82.41825,"Unknown"
66,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Big Bayou",,27.74093,-82.6268,"RedTide"
67,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay",,27.90485,-82.43898,"RedTide"
69,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Big Bend Teco Plant - Tampa Bay",,27.79693,-82.41307,"RedTide"
70,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Big Bend Teco Plant - Tampa Bay",,27.79326,-82.4136,"RedTide"
72,,1995-10-18,1995-10-18,"Has sample.",TRUE,TRUE,"Catfish","20to100","Saltwater","Tampa Bypass Canal  - 1st Lock",,27.75026,-82.63083,"RedTide"
73,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Snook","20to100","Saltwater","Hillsborough Bay - Davis Island",,27.93547,-82.46076,"RedTide"
74,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Old Tampa Bay Canal","Bypass Canal",27.80436,-82.61158,"RedTide"
75,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Cockroach Bay - Little Manatee River",,27.70454,-82.44847,"RedTide"
76,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach",,27.78098,-82.43121,"RedTide"
77,,1995-10-18,1995-10-18,"Has LIVE Catfish in fridge--- not for long (the live part I mean).",TRUE,TRUE,"Catfish","20to100","Saltwater","Snell Isle - Tampa Bay",,27.80454,-82.60257,"RedTide"
83,,1995-10-18,1995-10-18,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","MacDill AFB - Hillsborough Bay",,27.85546,-82.48099,"RedTide"
84,,1995-10-18,1995-10-18,"Will collect specimens if we want.",TRUE,TRUE,"Catfish","20to100","Saltwater","Big Bend Teco Plant",,27.80584,-82.41328,"RedTide"
79,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Snell Island Harbor - Tampa Bay",,27.79484,-82.61046,"RedTide"
80,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay - Davis Island",,27.93543,-82.46091,"RedTide"
81,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","North Shore - Tampa",,28.00587,-82.60641,"RedTide"
86,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Ballast Point Pier - Hillsborough Bay",,27.88753,-82.47888,"RedTide"
87,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay",,27.93676,-82.4626,"RedTide"
90,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Davis Island - Hillsborough Bay",,27.91138,-82.44507,"RedTide"
92,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Venetian Isles - Tampa Bay",,27.81965,-82.59741,"RedTide"
95,,1995-10-19,1995-10-19,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Venetian Isles Canal",,27.81909,-82.59997,"RedTide"
96,,1995-10-19,1996-10-11,"First noticed on October 11 and they looked old then.",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay",,27.9101,-82.45001,"RedTide"
4617,,1995-10-19,1995-10-19,,TRUE,TRUE,"Snook","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Unknown"
97,,1995-10-20,1995-10-20,". . . .",TRUE,TRUE,"Pinfish","20to100","Saltwater","Little Bayou",,27.72528,-82.6331,"RedTide"
98,,1995-10-20,1995-10-20,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Smacks Bayou - Tampa Bay",,27.80282,-82.60921,"RedTide"
100,,1995-10-20,1995-10-20,". . . .",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","Coquina Key - Tampa Bay",,27.75027,-82.63084,"RedTide"
101,,1995-10-21,1995-10-21,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Apollo Beach - Tampa Bay",,27.772,-82.4325,"RedTide"
102,,1995-10-21,1995-10-21,"Consumer Complained fish in traps.",TRUE,TRUE,"Crab","20to100","Saltwater","Shore Acres Canal - Tampa Bay",,27.81914,-82.59991,"RedTide"
103,,1995-10-21,1995-10-21,"Dead catfish in FW pond and dog is sick; number was disconnected when we tried to phone back.",TRUE,TRUE,"Catfish","20to100","Saltwater","Private Pond",,27.8522,-82.36728,"RedTide"
107,,1995-10-22,1995-10-22,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Coquina Key - Tampa Bay",,27.72912,-82.62678,"RedTide"
109,,1995-10-23,1995-10-23,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Old Tampa Bay",,27.97424,-82.58292,"RedTide"
110,,1995-10-23,1995-10-23,". . . .",TRUE,TRUE,"Carp","20to100","Saltwater","Alafia River",,27.8561,-82.39193,"RedTide"
111,,1995-10-23,1995-10-23,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","TECO Power Plant",,27.79321,-82.41188,"HighTemperature"
113,,1995-10-24,1995-10-24,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Culbreath Bayou - Old Tampa Bay",,27.93747,-82.52568,"RedTide"
114,,1995-10-24,1995-10-24,"Complaining about the smell",TRUE,TRUE,"Catfish","20to100","Saltwater","Shell Point - Tampa Bay","Shell Point Marina",27.72231,-82.47955,"RedTide"
116,,1995-10-24,1995-10-24,"Wanted to make sure we knew about the fish kill.",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Mirror Lake",,27.77414,-82.6429,"LowDissolvedOxygen"
4619,,1995-10-24,1995-10-24,,TRUE,TRUE,"Catfish","20to100","Saltwater","Tampa Bay",,27.5586,-82.65027,"RedTide"
119,,1995-10-27,1995-10-27,". . . .",TRUE,TRUE,"Red Drum, Catfish","20to100","Saltwater","Venetian Islaes - Tampa Bay",,27.81842,-82.61261,"RedTide"
120,,1995-10-30,1995-10-30,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Culbreath Bayou - Old Tampa Bay",,27.93633,-82.5269,"Unknown"
122,,1995-11-01,1995-11-01,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Manatee River",,27.50173,-82.56172,"RedTide"
123,,1995-11-04,1995-11-04,"Dead Tuna floating from fish house.",TRUE,TRUE,"Tuna","1to19","Saltwater","Coquina Key - Tampa Bay",,27.72751,-82.62538,"Unknown"
124,,1995-11-04,1995-11-04,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Manatee River",,27.49967,-82.55009,"RedTide"
4625,,1995-11-06,1995-11-06,,TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Manatee River",,27.51972,-82.61777,"RedTide"
4626,,1995-11-07,1995-11-07,,TRUE,TRUE,"Catfish","20to100","Saltwater","Manatee River/Terra Ceia",,27.51917,-82.61667,"Unknown"
126,,1995-11-08,1995-11-08,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Boca Ciega Bay","Causeway Village",27.76026,-82.7011,"RedTide"
4628,,1995-11-09,1995-11-09,,TRUE,TRUE,"Catfish","20to100","Saltwater","Palma Sola Bay",,27.48472,-82.65083,"RedTide"
4629,,1995-11-09,1995-11-09,,TRUE,TRUE,"Catfish","100s","Saltwater","Alligator Lake",,27.98388,-82.695,"RedTide"
128,,1995-11-10,1995-11-10,"Water is colored red.",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Manatee River",,27.52193,-82.504,"RedTide"
129,,1995-11-11,1995-11-11,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Manatee River",,27.52797,-82.50661,"RedTide"
130,,1995-11-12,1995-11-12,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay",,27.90248,-82.48838,"RedTide"
132,,1995-11-14,1995-11-14,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Palma Sola - Manatee River",,27.52532,-82.64482,"RedTide"
133,,1995-11-15,1995-11-15,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Rocky Creek - Old Tampa Bay",,27.93471,-82.4586,"RedTide"
137,,1995-11-21,1995-11-21,"Wants Clean-Up.",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Rocky Creek Canal - Tampa",,27.96805,-82.6011,"Unknown"
141,,1995-11-27,1995-11-27,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Rocky Creek Canal","Old Tampa Bay",27.99925,-82.58848,"Unknown"
142,,1995-11-27,1995-11-27,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Rocky Creek Canal",,27.99917,-82.58718,"Unknown"
143,,1995-11-27,1995-11-27,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Rocky Creek Canal",,27.9981,-82.58631,"Unknown"
144,,1995-11-27,1995-11-27,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Gandy Blvd - Old Tampa Bay",,27.8763,-82.59122,"RedTide"
145,,1995-11-27,1995-11-27,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Rocky Creek - Old Tampa Bay",,27.99496,-82.59301,"RedTide"
146,,1995-11-27,1995-11-27,". . . .",TRUE,TRUE,"Catfish","20to100","Saltwater","Cape Coral Bluebird Canal, Matlacha Isle, Mouth of Caloosahatchee",,27.99496,-82.59301,"RedTide"
151,,1995-11-28,1995-11-28,"Loads of dead Catfish.",TRUE,TRUE,"Catfish","20to100","Saltwater","Hillsborough Bay",,27.92741,-82.47827,"RedTide"
152,,1995-11-29,1995-11-29,". . . .",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Rocky Creek Canal",,28.00141,-82.58944,"RedTide"
154,,1995-11-29,1995-11-29,"Baycrest area in Tampa",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Unknown"
155,,1995-11-29,1995-11-29,"Town and country near Sheldon and memorial",TRUE,TRUE,"Catfish","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Disease"
156,,1995-11-30,1995-11-30,"*",TRUE,TRUE,"Catfish","20to100","Brackish","Canals - Tampa",,27.92167,-82.45583,"Disease"
158,,1995-11-30,1995-11-30,"*",TRUE,TRUE,"Catfish","100s","Brackish","Tampa Bay",,27.93472,-82.4586,"Disease"
160,,1995-11-30,1995-11-30,"*",TRUE,TRUE,"Catfish","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Disease"
162,,1995-11-30,1995-11-30,"Near town and county",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.7786,-82.43083,"Unknown"
164,,1995-12-01,1995-12-01,"Near town and country",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Unknown"
169,,1995-12-01,1995-12-01,"Near power plant",TRUE,TRUE,"Gafftop Sail Catfish","20to100","Saltwater","Tampa Bay",,27.7786,-82.43083,"RedTide"
172,,1995-12-02,1995-12-02,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Unknown"
173,,1995-12-03,1995-12-03,"*",TRUE,TRUE,"Catfish","20to100","Brackish","Curlew Canal - Tampa",,27.76027,-82.7011,"Disease"
176,,1995-12-04,1995-12-04,"Pelican Island",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Tampa",,27.90055,-82.45,"RedTide"
179,,1995-12-04,1995-12-04,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.9625,-82.57,"Unknown"
186,,1995-12-14,1995-12-14,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Tampa Bay",,27.96167,-82.56693,"RedTide"
192,,1995-12-18,1995-12-18,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"Unknown"
195,,1995-12-30,1995-12-30,"*",TRUE,TRUE,"Gafftop Sail Catfish","20to100","Saltwater","Anna Maria City Pier",,27.4961,-82.68443,"Disease"
196,,1996-01-04,1996-01-04,"*",TRUE,TRUE,"Catfish","20to100","Freshwater","Braden, Manatee River",,27.50027,-82.50138,"LowTemperature"
197,,1996-01-04,1996-01-04,"*",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Alafia River - Charlotte Harbor",,27.88443,-82.3211,"LowTemperature"
199,,1996-01-09,1996-01-09,"*",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Braden River",,27.50027,-82.50138,"LowTemperature"
200,,1996-01-09,1996-01-09,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Treasure Island",,27.75083,-82.73389,"LowTemperature"
201,,1996-01-09,1996-01-09,"*",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Braden River",,27.50027,-82.50138,"LowTemperature"
202,,1996-01-09,1996-01-09,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Treasure Island - Tampa",,27.75083,-82.73389,"LowTemperature"
203,,1996-01-10,1996-01-10,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"LowTemperature"
204,,1996-01-10,1996-01-10,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Palma Sola Bay - Tampa",,27.48167,-82.66138,"LowTemperature"
206,,1996-01-11,1996-01-11,"*",TRUE,TRUE,"Species Unidentified","20to100","Salinity Undetermined","Unknown",,27.93472,-82.4586,"LowTemperature"
207,,1996-01-13,1996-01-13,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"LowTemperature"
209,,1996-01-16,1996-01-16,"*",TRUE,TRUE,"Species Unidentified","20to100","Freshwater","Braden River",,27.50027,-82.50138,"LowTemperature"
210,,1996-01-17,1996-01-17,"*",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","Maximo Park",,27.72083,-82.68388,"LowTemperature"
214,,1996-02-05,1996-02-05,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Canal 78ave 4th N - Tampa",,28.15083,-82.46167,"LowTemperature"
215,,1996-02-05,1996-02-05,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Tampa Bay",,27.93472,-82.4586,"LowTemperature"
217,,1996-02-14,1996-02-14,"Caller from Florida Bay project.  Fishermen brought in dead fish and water from an area off ramrod where they said there were 1000's of dead fish.  Fish and water samples were frozen and available for anyone that wants them.",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Avery Bayou, Crystal Beach - Tampa",,28.0875,-82.77388,"LowTemperature"
218,,1996-02-21,1996-02-21,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Mt Vernon Canal, Cortez - Tampa",,27.93472,-82.4586,"LowTemperature"
219,,1996-02-21,1996-02-21,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Treasure Island - Tampa",,27.77138,-82.77444,"LowTemperature"
221,,1996-03-11,1996-03-11,"*",TRUE,TRUE,"Species Unidentified","20to100","Brackish","Crystal Aby Travel Park - Tampa",,27.93472,-82.4586,"LowTemperature"
222,,1996-03-12,1996-03-12,"*",TRUE,TRUE,"Mullet, Catfish","20to100","Freshwater","Frog Creek Entrance - Tampa",,27.5775,-82.56055,"LowTemperature"
223,,1996-03-12,1996-03-12,"*",TRUE,TRUE,"Mullet, Catfish","20to100","Saltwater","Sutherland Bayou - Tampa",,28.06778,-82.7675,"LowTemperature"
224,,1996-03-16,1996-03-16,"*",TRUE,TRUE,"Species Unidentified","20to100","Saltwater","Tampa Power Plant - Teco",,27.71638,-82.43972,"HighTemperature"
